Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,Total_Goals,Assits,G+A,Goal_without_Penalties,Penalty_Goals,Total_Penalties_Atemptted,Weekly Wages,Annual Wages
340,Matthijs de Ligt,nl NED,DF,Manchester Utd,24,1999,29,25,2123,2,0,2,2,0,0,"PS 195,000 (EUR 231,026, $238,144)","PS 10,140,000 (EUR 12,013,336, $12,383,497)"
341,Matty Cash,pl POL,DF,Aston Villa,26,1997,27,24,2070,1,1,2,1,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
342,Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38,38,3420,0,0,0,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
343,Max Aarons,eng ENG,DF,Bournemouth,24,2000,3,1,86,0,0,0,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
344,Max Kilman,eng ENG,DF,West Ham,27,1997,38,38,3348,0,1,1,0,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
345,Maxence Lacroix,fr FRA,DF,Crystal Palace,24,2000,35,35,3116,1,1,2,1,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
346,Maxwel Cornet,ci CIV,FW,Southampton,27,1996,2,1,72,0,0,0,0,0,0,"PS 65,000 (EUR 77,009, $79,381)","PS 3,380,000 (EUR 4,004,445, $4,127,832)"
347,Michael Golding,eng ENG,MF,Leicester City,18,2006,1,0,1,0,0,0,0,0,0,"PS 8,000 (EUR 9,478, $9,770)","PS 416,000 (EUR 492,855, $508,041)"
348,Michael Kayode,it ITA,DF,Brentford,20,2004,12,6,528,0,1,1,0,0,0,"PS 30,000 (EUR 35,548, $40,274)","PS 1,560,000 (EUR 1,848,521, $2,094,226)"
349,Michael Keane,eng ENG,DF,Everton,31,1993,14,11,1049,3,0,3,3,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
350,Michail Antonio,jm JAM,FW,West Ham,34,1990,14,11,836,1,1,2,1,0,0,"PS 85,000 (EUR 100,704, $103,806)","PS 4,420,000 (EUR 5,236,582, $5,397,935)"
351,Micky van de Ven,nl NED,DF,Tottenham,23,2001,13,12,1015,0,2,2,0,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
352,Miguel Almiron,py PAR,FW,Newcastle Utd,30,1994,9,1,157,0,0,0,0,0,0,"PS 60,000 (EUR 71,085, $73,275)","PS 3,120,000 (EUR 3,696,411, $3,810,307)"
353,Mikel Merino,es ESP,"MF,FW",Arsenal,28,1996,28,17,1586,7,2,9,7,0,0,"PS 130,000 (EUR 154,017, $158,763)","PS 6,760,000 (EUR 8,008,890, $8,255,665)"
354,Mikey Moore,eng ENG,FW,Tottenham,16,2007,10,3,366,0,1,1,0,0,0,"PS 5,000 (EUR 5,925, $6,712)","PS 260,000 (EUR 308,087, $349,038)"
355,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24,2000,38,34,2911,2,10,12,2,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
356,Milos Kerkez,hu HUN,DF,Bournemouth,20,2003,38,38,3336,2,5,7,2,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
357,Mohamed Salah,eg EGY,FW,Liverpool,32,1992,38,38,3371,29,18,47,20,9,9,"PS 350,000 (EUR 414,661, $427,438)","PS 18,200,000 (EUR 21,562,397, $22,226,790)"
358,Mohammed Kudus,gh GHA,"FW,MF",West Ham,23,2000,32,31,2590,5,3,8,5,0,0,"PS 90,000 (EUR 106,627, $109,913)","PS 4,680,000 (EUR 5,544,616, $5,715,460)"
359,Moises Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,38,38,3351,1,2,3,1,0,0,"PS 150,000 (EUR 177,712, $183,188)","PS 7,800,000 (EUR 9,241,027, $9,525,767)"
360,Morato,br BRA,DF,Nott'ham Forest,23,2001,26,6,907,0,0,0,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
